branch_id,neighborhood,zipcode,city,area
B001,Rittenhouse Square,19103,Philadelphia,East
B002,Wynwood,33127,Miami,South
B003,The Heights,77008,Houston,South
B004,LoDo,80202,Denver,West
B005,South Congress,78704,Austin,South
B006,Shadyside,15232,Pittsburgh,North
B007,Downtown,44113,Cleveland,North
B008,Silver Lake,90039,Los Angeles,West
B009,Brooklyn Heights,11201,New York,East
B010,Fells Point,21231,Baltimore,East
B011,Uptown (Dallas),75204,Dallas,South
B012,Brooklyn Heights,11201,New York,East
B013,Wynwood,33127,Miami,South
B014,Rittenhouse Square,19103,Philadelphia,East
B015,Capitol Hill,20003,"Washington, D.C.",East
B016,Uptown (Dallas),75219,Dallas,South
B017,French Quarter,70116,New Orleans,South
B018,Shadyside,15232,Pittsburgh,North
B019,Shadyside,15232,Pittsburgh,North
B020,Silver Lake,90039,Los Angeles,West
B021,Shadyside,15232,Pittsburgh,North
B022,Downtown,44113,Cleveland,North
B023,Rittenhouse Square,19103,Philadelphia,East
B024,Shadyside,15232,Pittsburgh,North
B025,The Heights,77008,Houston,South
B026,Shadyside,15232,Pittsburgh,North
B027,Uptown (Dallas),75204,Dallas,South
B028,Pearl District,97209,Portland,West
B029,Arcadia,85018,Phoenix,West
B030,Downtown,44113,Cleveland,North
B031,Pearl District,97209,Portland,West
B032,Shadyside,15232,Pittsburgh,North
B033,LoDo,80202,Denver,West
B034,LoDo,80202,Denver,West
B035,French Quarter,70116,New Orleans,South
B036,Shadyside,15232,Pittsburgh,North
B037,Downtown,44113,Cleveland,North
B038,SOMA,94103,San Francisco,West
B039,Downtown,44113,Cleveland,North
B040,Georgetown,20007,"Washington, D.C.",East
B041,Shadyside,15232,Pittsburgh,North
B042,Fells Point,21231,Baltimore,East
B043,Uptown (Dallas),75204,Dallas,South
B044,North Park,92104,San Diego,West
B045,Rittenhouse Square,19103,Philadelphia,East
B046,Pearl District,97209,Portland,West
B047,Fells Point,21231,Baltimore,East
B048,Upper West Side,10024,New York,East
B049,Upper West Side,10025,New York,East
B050,Rittenhouse Square,19103,Philadelphia,East
B051,North End,02113,Boston,East
B052,Old Town,60610,Chicago,North
B053,The Heights,77008,Houston,South
B054,Pearl District,97209,Portland,West
B055,French Quarter,70116,New Orleans,South
B056,Ballard,98107,Seattle,West
B057,French Quarter,70116,New Orleans,South
B058,North End,02113,Boston,East
B059,South Congress,78704,Austin,South
B060,Downtown,44113,Cleveland,North
B061,Arcadia,85018,Phoenix,West
B062,South Congress,78704,Austin,South
B063,Silver Lake,90039,Los Angeles,West
B064,SOMA,94103,San Francisco,West
B065,LoDo,80202,Denver,West
B066,Ballard,98107,Seattle,West
B067,Arcadia,85018,Phoenix,West
B068,Old Town,60610,Chicago,North
B069,Ballard,98107,Seattle,West
B070,SOMA,94103,San Francisco,West
B071,Shadyside,15232,Pittsburgh,North
B072,West Loop,60607,Chicago,North
B073,Silver Lake,90039,Los Angeles,West
B074,Silver Lake,90039,Los Angeles,West
B075,Uptown (Dallas),75204,Dallas,South
B076,Uptown (Dallas),75219,Dallas,South
B077,Shadyside,15232,Pittsburgh,North
B078,Pearl District,97209,Portland,West
B079,Upper West Side,10025,New York,East
B080,Shadyside,15232,Pittsburgh,North
B081,Uptown (Dallas),75219,Dallas,South
B082,SOMA,94103,San Francisco,West
B083,Pearl District,97209,Portland,West
B084,LoDo,80202,Denver,West
B085,South Congress,78704,Austin,South
B086,LoDo,80202,Denver,West
B087,The Heights,77008,Houston,South
